台文漢字諺語（台羅 | 白話字）
新竹風，基隆雨，四十九日烏（Sin-tik hong, Ke-lâng hōo, sì-tsa̍p káu ji̍t oo | Sin-tek hong, Ke-lâng hō͘, sì-cha̍p káu ji̍t o͘）
有量才有福（ū liōng tsiah ū hok | ū liōng chiah ū hok）
清明閃閃爍，五日節無半滴（tshing-bîng siám-siám-sih, Gōo-ji̍t-tseh bô puànn tih | chheng-bêng siám-siám-sih, Gō͘-ji̍t-cheh bô pòaⁿ tih）
一暝無睏，三日無神（tsi̍t mê bô khùn, sann ji̍t bô sîn | chi̍t mê bô khùn, saⁿ ji̍t bô sîn）
水流東，食未空（tsuí-lâu tang, tsia̍h bē khang | chúi-lâu tang, chia̍h bē khang）
尪王無頭殼，聖公無手骨（Ang-ông bô thâu-khak, Sìng-kong bô tshiú-kut | Ang-ông bô thâu-khak, Sèng-kong bô chhiú-kut）
立夏補老爸（lip-hē, póo lāu-pē | lip-hē, pó͘ lāu-pē）
袂生牽拖厝邊（bē senn khan-thua tshù-pinn | bē seⁿ khan-thoa chhù-piⁿ）
五月十三人看人（gōo-gue̍h tsa̍p-sann lâng khuànn lâng | gō͘-goe̍h cha̍p-saⁿ lâng khòaⁿ lâng）
食到老，學到老（tsia̍h kah lāu, o̍h kah lāu | chia̍h kah lāu, o̍h kah lāu）
行船走馬三分命（kiânn-tsûn tsáu-bé sann hun miā | kiâⁿ-chûn cháu-bé saⁿ hun miā）
尪公無過嶺（ang-kong bô kuè niá | ang-kong bô kòe niá）
熱天看山頭，寒天看海口（jua̍h-thinn khuànn suann-thâu, kuânn-thinn khuànn hái-kháu | joa̍h-thiⁿ khòaⁿ soaⁿ-thâu, kôaⁿ-thiⁿ khòaⁿ hái-kháu）
狗吠火車，無路用（káu puī hué-tshia, bô lōo-iōng | káu pūi hóe-chhia, bô lō͘-iōng）
一枝箸，食無糜（tsi̍t ki tī, tsia̍h bô bê | chi̍t ki tī, chia̍h bô bê）
九萬十八千（káu bān tsa̍p-peh tshing | káu bān cha̍p-peh chheng）
嘉義嘉義，借錢免寫字（Ka-gī Ka-gī, tsioh-tsînn bián siá-jī | Ka-gī Ka-gī, chioh-chîⁿ bián siá-jī）
閃冬才會輕鬆（siám-tang tsiah ē khin-sang | siám-tang chiah ē khin-sang）
娶嘉義某，嫁台南翁（tshuā Ka-gī bóo, kè Tâi-lâm ang | chhōa Ka-gī bó͘, kè Tâi-lâm ang）
買賣算分，相請無論（bé-bē sǹg hun, sio-tshiánn bô lūn | bé-bē sǹg hun, sio-chhiáⁿ bô lūn）
鹿港人講話無相仝（Lo̍k-káng lâng kóng uē bô sio-kâng | Lo̍k-káng lâng kóng ōe bô sio-kâng）
風吹大道公，雨沃媽祖婆（hong tshue Tāi-tō-kong, hōo ak Má-tsóo-pô | hong chhoe Tāi-tō-kong, hō͘ ak Má-chó͘-pô）
鹿港施（死）一半，社頭全蕭人（Lo̍k-káng si tsi̍t-puànn, Siā-thâu tsuân siau lâng | Lo̍k-káng si chi̍t-pòaⁿ, Siā-thâu choân siau lâng）
食苦當做食補（tsia̍h khóo tòng-tsuè tsia̍h póo | chia̍h khó͘ tòng-chòe chia̍h pó͘）
烏矸仔貯豆油（o kan-á té tāu-iû | o kan-á té tāu-iû）
功夫到厝，欲食就有（kang-hu kàu tshù, beh tsia̍h tio̍h ū | kang-hu kàu chhù, beh chia̍h tio̍h ū）
西北雨，落未到車路（sai-pak-hōo, lo̍h beh kàu tshia lōo | sai-pak-hō͘, lo̍h beh kàu chhia lō͘）
驚王公生，毋驚過年（kiann Ông-kong senn, m̄ kiann kuè-nî | kiaⁿ Ông-kong seⁿ, m̄ kiaⁿ kòe-nî）
宜蘭人食精（Gî-lân lâng tsia̍h tsing | Gî-lân lâng chia̍h cheng）
二結王公請會著都免食藥（Jī-kiat Ông-kong tshiánn ē to̍h to bián tsia̍h io̍h | Jī-kiat Ông-kong chhiáⁿ ē to̍h to bián chia̍h io̍h）
一府，二鹿，三艋舺（it Hú, jī Lo̍k, sann Báng-kah | it Hú, jī Lo̍k, saⁿ Báng-kah）
三年一小亂，五年一大亂（sann nî tsi̍t sió luān, gōo nî tsi̍t tuā luān | saⁿ nî chi̍t sió loān, gō͘ nî chi̍t tōa loān）
死貓吊樹頭，死狗放水流（sí niau tiàu tshiū-thâu, sí káu pàng tsuí lâu | sí niau tiàu chhiū-thâu, sí káu pàng chúi lâu）
第一做醫生，第二賣冰（tē it tsò i-sing, tē jī bē ping | tē it chò i-seng, tē jī bē peng）
第一起廟，第二炒股票（tē it khí biō, tē jī tshá-kóo-phiò | tē it khí biō, tē jī chhá-kó͘-phiò）
狗反肚，落大雨（káu píng-tōo, lo̍h -tuā-hōo | káu péng-tō͘, lo̍h -tōa-hō͘）
九月颱，慘歪歪（káu gue̍h thai, tshám uai uai | káu goe̍h thai, chhám oai oai）
有理無理，到大媽館評理（ū lí bô lí, kàu tuā-má-kuán phîng-lí | ū lí bô lí, kàu tōa-má-koán phêng-lí）
鹿港風，彰化蠓（Lo̍k-káng hong, Tsiong-huà báng | Lo̍k-káng hong, Chiong-hòa báng）
施黃許，刺查某（si n̂g khóo, tshiah-tsa-bóo | si n̂g khó͘, chhiah-cha-bó͘）
看人食麵喝燒（khuànn lâng tsia̍h mī huah sio | khòaⁿ lâng chia̍h mī hoah sio）
看人食米粉喝燒（khuànn lâng tsia̍h bí-hún huah sio | khòaⁿ lâng chia̍h bí-hún hoah sio）
無血無目屎（bô hueh bô ba̍k-sái | bô hoeh bô ba̍k-sái）
請二結王公。尾步矣。（tshiánn Jī-kiat Ông-kong. bué pōo ah! | chhiáⁿ Jī-kiat Ông-kong. bóe pō͘ ah!）
一粒田螺九碗湯（tsi̍t lia̍p tshân-lê káu uánn-kong thng | chi̍t lia̍p chhân-lê káu óaⁿ-kong thng）
生食攏無夠，哪有通曬乾（tshenn-tsia̍h lóng bô kàu, nā ū thang pha̍k kuann | chheⁿ-chia̍h lóng bô kàu, nā ū thang pha̍k koaⁿ）
第一戇，種甘蔗予會社磅（tē it gōng, tsíng kam-tsià hōo huē-siā pōng | tē it gōng, chéng kam-chià hō͘ hōe-siā pōng）
一冬換二十四个頭家（tsi̍t tang uānn jī-tsa̍p sì ê thâu-ke | chi̍t tang ōaⁿ jī-cha̍p sì ê thâu-ke）
七少年，八少年（tshit siàu-liân, peh siàu-liân | chhit siàu-liân, peh siàu-liân）
人老心無老（lâng láu sim bô láu | lâng láu sim bô láu）
六月芥菜。假有心（la̍k-gue̍h kuà-tshài ké ū-sim | la̍k-goe̍h kòa-chhài ké ū-sim）
反起反落（huán-khí-huán-lo̍h | hoán-khí-hoán-lo̍h）
七仔笑八仔（tshit-á tshiò peh-á | chhit-á chhiò peh-á）
上司管下司，下司管畚箕（tíng-si kuán ē-si, ē-si kuán pùn-ki | téng-si koán ē-si, ē-si koán pùn-ki）
蠓仔叮牛角（báng-á tìng gû-kak | báng-á tèng gû-kak）
在生食一粒土豆，較贏死後拜一个豬頭（tsāi senn tsia̍h tsi̍t lia̍p thôo-tāu, khah iânn sí āu pài tsi̍t ê ti-thâu | chāi seⁿ chia̍h chi̍t lia̍p thô͘-tāu, khah iâⁿ sí āu pài chi̍t ê ti-thâu）
一句來，一句去（tsi̍t kù lâi, tsi̍t kù khì | chi̍t kù lâi, chi̍t kù khì）
翁仔某，食飯配菜脯（ang-á boó, tsia̍h pn̄g phè tshài-póo | ang-á bó͘, chia̍h pn̄g phè chhài-pó͘）
媒人喙，糊瘰瘰（muê-lâng tshuì, hôo-luì-luì | môe-lâng chhùi, hô͘-lùi-lùi）
江湖喙，糊瘰瘰（kang-ôo tshuì, hôo-luì-luì | kang-ô͘ chhùi, hô͘-lùi-lùi）
舊柴草快點火，舊籠床好炊粿（kū tshâ tsháu kín tiám hué, kū lâng-sn̂g hó tshue kué | kū chhâ chháu kín tiám hóe, kū lâng-sn̂g hó chhoe kóe）
雙面刀鬼（siang-bīn-to-kuí | siang-bīn-to-kúi）
第一戇，捐錢予廟公（tē it gōng, kuan-tsînn hōo biō-kong | tē it gōng, koan-chîⁿ hō͘ biō-kong）
關門就栓，講話就看（kuainn-mn̂g tio̍h tshuànn, kóng-uē tio̍h khuànn | koaiⁿ-mn̂g tio̍h chhòaⁿ, kóng-ōe tio̍h khòaⁿ）
鐵管生鉎，歹管（thih-kóng senn-sian, pháinn kóng | thih-kóng seⁿ-sian, pháiⁿ kóng）
鬱鬱佇心底，笑笑賠人禮（ut-ut tī sim-té, tshiò-tshiò puê lâng lé | ut-ut tī sim-té, chhiò-chhiò pôe lâng lé）
草索仔看做蛇（tsháu-soh-á khuànn tsò tsuâ | chháu-soh-á khòaⁿ chò chôa）
牛會哺棉被（gû ē pōo mî-phuē | gû ē pō͘ mî-phōe）
戇猴搬石頭（gōng kâu puann tsio̍h-thâu | gōng kâu poaⁿ chio̍h-thâu）
好話一句，歹話嘛一句（hó uē tsi̍t kù, pháinn uē mā tsi̍t kù | hó ōe chi̍t kù, pháiⁿ ōe mā chi̍t kù）
一个童乩，一个桌頭（tsi̍t ê tâng-ki, tsi̍t ê toh-thâu | chi̍t ê tâng-ki, chi̍t ê toh-thâu）
媽祖婆請出門，毋是風就是雨（Má-tsóo-pô tshiánn tshut-mn̂g, m̄-sī hong to̍h-sī hōo | Má-chó͘-pô chhiáⁿ chhut-mn̂g, m̄-sī hong to̍h-sī hō͘）
大仙王爺公，小仙王爺囝（tuā-sian Ōng-iâ-kong, sè-sian Ōng-iâ-kiánn | tōa-sian Ōng-iâ-kong, sè-sian Ōng-iâ-kiáⁿ）
二月二，土地公搬老戲（jī-gue̍h jī, Thóo-tī-kong puann lāu hì | jī-goe̍h jī, Thó͘-tī-kong poaⁿ lāu hì）
送神風，接神雨（sàng-sîn hong, tsiap-sîn hōo | sàng-sîn hong, chiap-sîn hō͘）
北港顯、土庫定（Pak-káng hián, Thóo-khòo tiānn | Pak-káng hián, Thó͘-khò͘ tiāⁿ）
城隍廟放鬼，地藏王收鬼（Sîng-hông-biō pàng kuí, Tē-tsông-ông siu kuí | Sêng-hông-biō pàng kúi, Tē-chông-ông siu kúi）
擔屎毋敢偷食（tann sái m̄-kánn thau-tsia̍h | taⁿ sái m̄-káⁿ thau-chia̍h）
食老有三䆀：目睭䆀，喙齒䆀、體力䆀（Tsia̍h-lāu ū sann-bái: ba̍k-tsiu bái, tshuì-khí bái, thé-la̍t bái | Chia̍h-lāu ū saⁿ-bái: ba̍k-chiu bái, chhùi-khí bái, thé-la̍t bái）
食老有三䆀：哈唏流目屎、放屁兼疶屎、報紙提倒反（Tsia̍h-lāu ū sann-bái: ha-hì lâu-ba̍k-sái, pàng-phuì kiam tshuah-sái, pò-tsuá thê tó-píng | Chia̍h-lāu ū saⁿ-bái: ha-hì lâu-ba̍k-sái, pàng-phùi kiam chhoah-sái, pò-chóa thê tó-péng）
乞食下大願（khit-tsia̍h hē tuā guān | khit-chia̍h hē tōa goān）
新婦哭禮數，女兒哭腹肚（sim-pū khàu lé-sòo, lú-jî khàu pak-tóo | sim-pū khàu lé-sò͘, lú-jî khàu pak-tó͘）
家己種一叢，較贏看別人（ka-kī tsíng tsi̍t tsâng, khah iânn khuànn pa̍t-lâng | ka-kī chéng chi̍t châng, khah iâⁿ khòaⁿ pa̍t-lâng）
一个半斤，一个八兩（tsi̍t ê puànn kin, tsi̍t ê peh niú | chi̍t ê pòaⁿ kin, chi̍t ê peh niú）
請鬼提藥單（tshiánn kuí the̍h io̍h-tuann | chhiáⁿ kúi the̍h io̍h-toaⁿ）
生贏，雞酒芳，生輸，四塊板（senn iânn, ke-tsiú phang, senn su, sì tè pang | seⁿ iâⁿ, ke-chiú phang, seⁿ su, sì tè pang）
長工望落雨，乞食望普渡（tn̂g-kang bāng lo̍h-hōo, khit-tsia̍h bāng phóo-tōo | tn̂g-kang bāng lo̍h-hō͘, khit-chia̍h bāng phó͘-tō͘）
論輩無論歲（lūn puè bô lūn huè | lūn pòe bô lūn hòe）
無日毋知晝，無鬚毋知老（bô ji̍t m̄-tsai tàu, bô tshiu m̄-tsai lāu | bô ji̍t m̄-chai tàu, bô chhiu m̄-chai lāu）
你看我殕殕，我看你霧霧（Lí khuànn guá phú-phú, guá khuànn lí bū-bū | Lí khòaⁿ góa phú-phú, góa khòaⁿ lí bū-bū）
家己做醫生（ka-tī tsò i-sing | ka-tī chò i-seng）
查埔大到二五，查某大到大肚（tsâ poo tuā kàu jī gōo, tsâ boó tuā kàu tuā tōo | châ po͘ tōa kàu jī gō͘, châ bó͘ tōa kàu tōa tō͘）
食飯食阿爹，賺錢撿私奇（tsia̍h-pn̄g tsia̍h á-tia, thàn-tsînn kiám sai-khia | chia̍h-pn̄g chia̍h á-tia, thàn-chîⁿ kiám sai-khia）
樹頭顧予在,免驚樹尾做風颱（tshiū thâu kòo hōo tsai, bián kiann tshiū-bué tsuè hong-thai | chhiū thâu kò͘ hō͘ chai, bián kiaⁿ chhiū-bóe chòe hong-thai）
正月寒死龜，二月寒死牛（tsiann gue̍h kuânn sí ku, jī gue̍h kuânn sí gû | chiaⁿ goe̍h kôaⁿ sí ku, jī goe̍h kôaⁿ sí gû）
街頭媽祖間、街尾觀音亭（ke thâu Má-tsoó king, ke bué Kuan-im tîng | ke thâu Má-chó͘ keng, ke bóe Koan-im têng）
滿面全豆花（muá bīn tsuân tāu-hue | móa bīn choân tāu-hoe）
心歹無人知，喙歹上厲害（sim pháinn bô lâng tsai, tshuì pháinn siōng lī hāi | sim pháiⁿ bô lâng chai, chhùi pháiⁿ siōng lī hāi）
無痟貪，就免信神（bô siau tham, too bián sìn sîn | bô siau tham, to͘ bián sìn sîn）
無某無猴（bô boó bô kâu | bô bó͘ bô kâu）
水鬼升城隍（tsuí-kuí sing Sîng-hông | chúi-kúi seng Sêng-hông）
仙拼仙，害死猴齊天（Sain piànn Sain, hāi sí kâu-tsê-thian | Sain piàⁿ Sain, hāi sí kâu-chê-thian）
食飽睏、睏飽食（tsia̍h pá khùn, khùn pá tsia̍h | chia̍h pá khùn, khùn pá chia̍h）
大厝媽祖間（tuā tshù Má-tsoó king | tōa chhù Má-chó͘ keng）
一聲毋知，百聲無代（tsi̍t siann m̄ tsai, pah siann bô tāi | chi̍t siaⁿ m̄ chai, pah siaⁿ bô tāi）
二月十九，無風，雨也吼（jī gue̍h tsa̍p káu, bô hong, tsuí iā háu | jī goe̍h cha̍p káu, bô hong, chúi iā háu）
三溪水，洗袂清（sann-khe-tsuí, sé bē tshing | saⁿ-khe-chúi, sé bē chheng）
三色人講五色話（sann sik lâng kóng gōo sik uē | saⁿ sek lâng kóng gō͘ sek ōe）
天無絕人之路（thinn bô tsua̍t lâng tsi lōo | thiⁿ bô choa̍t lâng chi lō͘）
五月查某雨（gōo gue̍h tsâ boó hōo | gō͘ goe̍h châ bó͘ hō͘）
命運天注定（miā-ūn thinn tsù-tiānn | miā-ūn thiⁿ chù-tiāⁿ）
有兩步七仔（ū nn̄g pōo tshit á | ū nn̄g pō͘ chhit á）
食王城水，未肥也會媠（tsia̍h Ong-siânn tsuí, bē puî iā ê suí | chia̍h Ong-siâⁿ chúi, bē pûi iā ê súi）
無食酒，講酒話（bô tsia̍h tsiú, kóng tsiú uē | bô chia̍h chiú, kóng chiú ōe）
七分酒，八分茶，九分飯，十分糜（tshit hun tsiú, peh hun tê, káu hun pn̄g, tsa̍p hun muê | chhit hun chiú, peh hun tê, káu hun pn̄g, cha̍p hun môe）
三年水流東，四年水流西（sann nî tsuí lâu tang, sì nî tsuí lâu sai | saⁿ nî chúi lâu tang, sì nî chúi lâu sai）
目睭挩窗（ba̍k-tsiu thuat thang | ba̍k-chiu thoat thang）
坐奶母車（tsē lin-bú tshia | chē lin-bú chhia）
尻川插竹杆，好額人（kha-tshng tshah tik-kuann, hó-gia̍h-lâng | kha-chhng chhah tek-koaⁿ, hó-gia̍h-lâng）
田中央起廟，正經（tshân tiong-ng khí biō, tsìng-king | chhân tiong-ng khí biō, chèng-keng）
上港有名聲，下港蓋出名（tíng-káng ū miâ-siann, ē-káng kài tshut-miâ | téng-káng ū miâ-siaⁿ, ē-káng kài chhut-miâ）
有時月光，有時星光（ū sî gue̍h-kng, ū sî tshenn-kng | ū sî goe̍h-kng, ū sî chheⁿ-kng）
竹篙鬥菜刀（tik-ko táu tshài-to | tek-ko táu chhài-to）
迒袂過濁水溪（hānn bē kuè Lô-tsuí-khe | hāⁿ bē kòe Lô-chúi-khe）
請鬼拆藥單，揣死（tshiánn kuí thiah io̍h-tuann, tshuē sí | chhiáⁿ kúi thiah io̍h-toaⁿ, chhōe sí）
老神在在（láu sîn, tsāi-tsāi | láu sîn, chāi-chāi）
買厝，買厝邊（bé tshù, bé tshù-pinn | bé chhù, bé chhù-piⁿ）
閻羅王開酒店（Giâm-lô-ông khui tsiú tiàm | Giâm-lô-ông khui chiú tiàm）
墓仔埔做大水（bōng-á-poo tsò tuā tsuí | bōng-á-po͘ chò tōa chúi）
和尚攑雨傘（huê-siūnn gia̍h hōo-suànn | hôe-siūⁿ gia̍h hō͘-sòaⁿ）
冬瓜好看無好食（tong-kue hó khuànn bô hó tsia̍h | tong-koe hó khòaⁿ bô hó chia̍h）
人無千日好，花無百日紅（lâng bô tshing ji̍t hó, hue bô pah ji̍t âng | lâng bô chheng ji̍t hó, hoe bô pah ji̍t âng）
無食黑豆，叫人放黑豆屎（bô tsia̍h oo-tāu, kiò lâng pàng oo-tāu sái | bô chia̍h o͘-tāu, kiò lâng pàng o͘-tāu sái）
大紅花毋知䆀，圓仔花䆀毋知（tuā âng hue m̄-tsai bái, înn-á-hue bái m̄-tsai | tōa âng hoe m̄-chai bái, îⁿ-á-hoe bái m̄-chai）
膨風水雞刣無肉（phòng hong tsuí-ke, thâi bô bah | phòng hong chúi-ke, thâi bô bah）
烏鴉歹喙，心無䆀（oo-a pháinn tshuì, sim bô bái | o͘-a pháiⁿ chhùi, sim bô bái）
變無蠓（pìnn bô báng | pìⁿ bô báng）
頭仔興興，尾仔杜定（thâu-á hing-hing, bué-á tōo-tīng | thâu-á heng-heng, bóe-á tō͘-tēng）
毋知是熊抑是虎（m̄-tsai sī hîm, á-sī hoó | m̄-chai sī hîm, á-sī hó͘）
蛇無頭袂走，鳥無翼袂飛（tsuâ bô thâu bē tsáu, tsiáu bô si̍t bē pue | chôa bô thâu bē cháu, chiáu bô si̍t bē poe）
山猴想欲挽仙桃（suann kâu siūnn beh bán sian-thô | soaⁿ kâu siūⁿ beh bán sian-thô）
城隍廟鳥鼠（Sîng-hông-biō niáu-tshí | Sêng-hông-biō niáu-chhí）
掠兔仔（lia̍h thoó-á | lia̍h thó͘-á）
死鴨仔，硬喙桮（sí ah-á, ngē tshuì-pue | sí ah-á, ngē chhùi-poe）
放牛食草（pàng gû tsia̍h tsháu | pàng gû chia̍h chháu）
食若牛，做若龜（tsia̍h ná gû, tsò ná ku | chia̍h ná gû, chò ná ku）
會吠的狗，袂咬人（ē puī ê káu, bē kā lâng | ē pūi ê káu, bē kā lâng）
拍狗，看主人（phah káu, khuànn tsú-lâng | phah káu, khòaⁿ chú-lâng）
一人食一半，感情較袂散（tsi̍t lâng tsia̍h tsi̍t puànn, kám-tsîng khah bē suànn | chi̍t lâng chia̍h chi̍t pòaⁿ, kám-chêng khah bē sòaⁿ）
落土時，八字命（lo̍h-thoó sî, peh-jī miā | lo̍h-thó͘ sî, peh-jī miā）
註生娘娘，毋敢食無囝油飯（Tsù-senn-niû-niû, m̄-kánn tsia̍h bô kiánn iû-pn̄g | Chù-seⁿ-niû-niû, m̄-káⁿ chia̍h bô kiáⁿ iû-pn̄g）
頭胎二胎食外家（thâu the jī the tsia̍h guā-ke | thâu the jī the chia̍h gōa-ke）
補胎，較好補月內（poó thai, khah hó poó gue̍h lāi | pó͘ thai, khah hó pó͘ goe̍h lāi）
海水會焦，石頭會爛（hái tsuí ē ta, tsio̍h-thâu ē nuā | hái chúi ē ta, chio̍h-thâu ē nōa）
姻緣天註定（in-iân thinn tsù tiānn | in-iân thiⁿ chù tiāⁿ）
雙雙對對，萬年富貴（siang siang tuì tuì, bān nî hù-kuì | siang siang tùi tùi, bān nî hù-kùi）
娶某大姐坐金交椅（tshuā boó-tuā-tsí tsē kim-kau-í | chhōa bó͘-tōa-chí chē kim-kau-í）
喝水會堅凍（huah tsuí ē kian-tàng | hoah chúi ē kian-tàng）
食老倒少年（tsia̍h lāu tò siàu-liân | chia̍h lāu tò siàu-liân）
老罔老，哺土豆（lāu bóng lāu, pōo thôo-tāu | lāu bóng lāu, pō͘ thô͘-tāu）
翁仔某是相欠債（ang-á boó sī sio-khiàm-tsè | ang-á bó͘ sī sio-khiàm-chè）
清明無轉厝，無祖；過年無轉厝，無某（tshing-bîng bô tńg tshù, bô tsoó； kuè-nî bô tńg tshù, bô boó | chheng-bêng bô tńg chhù, bô chó͘； kòe-nî bô tńg chhù, bô bó͘）
錢債好還，人債歹還（tsînn tsè hó hîng, jîn tsè pháinn hîng | chîⁿ chè hó hêng, jîn chè pháiⁿ hêng）
無錢講無話（bô tsînn kóng bô uē | bô chîⁿ kóng bô ōe）
有儉才有底（ū khiām tsiah ū té | ū khiām chiah ū té）
食未老，死未到（tsia̍h bē lāu, sí bē kàu | chia̍h bē lāu, sí bē kàu）
有錢去香港，無錢去北港（ū tsînn khì Hiang-káng, bô tsînn khì Pak-káng | ū chîⁿ khì Hiang-káng, bô chîⁿ khì Pak-káng）
一樣生，百樣死（tsi̍t iūnn sinn, pah iūnn sí | chi̍t iūⁿ siⁿ, pah iūⁿ sí）
毋捌一个芋頭蕃薯（m̄-bat tsi̍t ê ōo-á han-tsû | m̄-bat chi̍t ê ō͘-á han-chû）
陳林半天下（Tân Lîm puànn thian-hā | Tân Lîm pòaⁿ thian-hā）
見面三分情（kìnn-bīn sann hun tsîng | kìⁿ-bīn saⁿ hun chêng）
袂曉開船，嫌溪彎（bē hiáu khui-tsûn, hiâm khe uan | bē hiáu khui-chûn, hiâm khe oan）
食紅柿配燒酒（tsia̍h âng-khī phuè sio-tsiú | chia̍h âng-khī phòe sio-chiú）
囂俳無落魄的久（hiau-pai bô lo̍k-phik ê kú | hiau-pai bô lo̍k-phek ê kú）
未生子，先號名（bē senn-kiánn, sing hō-miâ | bē seⁿ-kiáⁿ, seng hō-miâ）
未學走，先學跑（bē o̍h kiânn, sing o̍h tsáu | bē o̍h kiâⁿ, seng o̍h cháu）
為錢生，為錢死，為錢走千里（uī tsînn sinn, uī tsînn sí, uī tsînn tsáu tshian-lí | ūi chîⁿ siⁿ, ūi chîⁿ sí, ūi chîⁿ cháu chhian-lí）
灶跤鳥鼠（tsàu-kha niáu-tshí | chàu-kha niáu-chhí）
一个人客，九个主人（tsi̍t ê lâng-kheh, káu ê tsú-lâng | chi̍t ê lâng-kheh, káu ê chú-lâng）
較早睏，較有眠（khah tsá khún, khah ū bîn | khah chá khún, khah ū bîn）
天無雨，人無路（thinn bô hōo, lâng bô lōo | thiⁿ bô hō͘, lâng bô lō͘）
一蕊好花，插牛屎（tsi̍t luí hó hue, tshah gû sái | chi̍t lúi hó hoe, chhah gû sái）
姑疼孫，仝一姓（koo thiànn sun, kāng tsi̍t sènn | ko͘ thiàⁿ sun, kāng chi̍t sèⁿ）
毋捌字閣兼無衛生（m̄-bat jī koh kiam bô uē-sing | m̄-bat jī koh kiam bô ōe-seng）
人食魚，魚食水（lâng tsia̍h hî, hî tsia̍h tsuí | lâng chia̍h hî, hî chia̍h chúi）
大腸告小腸（tuā-tn̂g kò sió-tn̂g | tōa-tn̂g kò sió-tn̂g）
千里眼，順風耳（tshian-lí-gán, sūn-hong-ní | chhian-lí-gán, sūn-hong-ní）
用鬼，抓鬼（iōng kuí, lia̍h kuí | iōng kúi, lia̍h kúi）
搖人無才，搖豬無刣（iô lâng bô tsâi, iô ti bô tsáinn | iô lâng bô châi, iô ti bô thâi）
龜跤龜內肉（ku kha ku lāi bah | ku kha ku lāi bah）
春茫曝死鬼，夏茫做大水（tshun bông pha̍k-sí kuí, hā bông tsuè tuā tsuí | chhun bông pha̍k-sí kúi, hā bông chòe tōa chúi）
心思無定，抽籤算命（sim-sū bô tiānn, thiu-tshiam sǹg-miā | sim-sū bô tiāⁿ, thiu-chhiam sǹg-miā）
江湖一點訣，講破無價值（kang-ôo tsi̍t-tiám kuat, kóng phuà bô kè-ta̍t | kang-ô͘ chi̍t-tiám koat, kóng phòa bô kè-ta̍t）
貓仔爬樹，無成猴（niau-á pê tshiū, bô sîng kâu | niau-á pê chhiū, bô sêng kâu）
穩觸觸，鳥鼠入牛角（ún-tà-tà, niáu-tshí ji̍p gû kak | Ún-tak-tak, niáu-chhí ji̍p gû kak）
坐予正，才會得人疼（tshē hōo tsiànn, tsiah ē tit lâng thiànn | chhē hō͘ chiàⁿ, chiah ē tit lâng thiàⁿ）
苦瓜燉鰱魚，可憐（khóo-kue tīm liân-hî, khó-liân | khó͘-koe tīm liân-hî, khó-liân）
做媒人無包生囝（tsò muî-jîn bô pau senn kiánn | chò mûi-jîn bô pau seⁿ kiáⁿ）
無錯，整欉好好（bô-tshò, kui tsâng hó hó | bô-chhò, kui châng hó hó）
阿婆仔蒸粿，倒貼（a-pô-á tshue kué, tò-thap | a-pô-á chhoe kóe, tò-thiap）
媠䆀無地比，愛著較慘死（suí bái bô té pí, ài tio̍h kah tshám-sí | súi bái bô té pí, ài tio̍h khah chhám-sí）
醫生驚治嗽，總鋪驚食晝，做土水驚掠漏（i-sing kiann tī sàu, tsóng-phòo kiann tsia̍h tàu, tsò thóo-tsuí kiann lia̍h lāu | i-seng kiaⁿ tī sàu, chóng-phò͘ kiaⁿ chia̍h tàu, chò thó͘-chúi kiaⁿ lia̍h lāu）
相請無論，相挺照算（sio-tshiánn bô lūn, sio-thîng tsiàu-sǹg | sio-chhiáⁿ bô lūn, sio-thêng chiàu-sǹg）
家己栽一欉，較贏看別人（ka-tī tsai tsi̍t tsâng, kah iânn khuànn pa̍t-lâng | ka-tī chai chi̍t châng, kah iâⁿ khòaⁿ pa̍t-lâng）
欲死無勇氣，欲拚無鬥志（beh sí bô ióng-khì, beh piànn bô tak-tsì | beh sí bô ióng-khì, beh piàⁿ bô tàu-chì）
靠山山會倒，靠豬寮死豬母（khò-suann suann ē tó, khò ti-liâu sí ti-bó | khò-soaⁿ soaⁿ ē tó, khò ti-liâu sí ti-bó）
靠山山會崩，靠水水會焦（khò suann suann ē pang, khò tsuí tsuí ē ta | khò soaⁿ soaⁿ ē pang, khò chúi chúi ē ta）
跋筊無了時（pua̍h-kiáu bô liáu sî | poa̍h-kiáu bô liáu sî）
相罵無好話，相拍無好拳（sio-mē bô hó uē, sio-phah bô hó kûn | sio-mē bô hó ōe, sio-phah bô hó kûn）
你無去傷人，人袂來害你（lí bô khì siong lâng, lâng buē lâi hāi lí | lí bô khì siong lâng, lâng bōe lâi hāi lí）
一命賠一命（tsi̍t miā puê tsi̍t miā | chi̍t miā pôe chi̍t miā）
講話就算話（kóng uē tio̍h sǹg uē | kóng ōe tio̍h sǹg ōe）
大人煩惱無錢，囡仔歡喜過年（tuā lâng huân-ló bó-tsînn, gín-á huann-hí kue-nî | tōa lâng hoân-ló bó-chîⁿ, gín-á hoaⁿ-hí koe-nî）
有氣無地敨（ū khì bô tè tháu | ū khì bô tè tháu）
哀父叫母（ai pē kiò bó | ai pē kiò bó）
行船，拄著對頭風（kiânn-tsûn, tú tio̍h tuì-thâu-hong | kiâⁿ-chûn, tú tio̍h tùi-thâu-hong）
上天無路，入地無門（tsiūnn thi bô lōo, ji̍p tē bô mn̂g | chiūⁿ thian bô lō͘, ji̍p tē bô mn̂g）
